Provincia,Comune,Grado Scolastico,Descrizione Scuola,Cod Sede,Cod Scuola,Denominazione Scuola,Indirizzo e n. civico,C.A.P.,Comunita Collinare,Comunita Montana
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011058,ALEE00101D,GIOSUE' CARDUCCI,CORSO CAVALLOTTI 4,15121,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011059,ALEE00103G,G. MONTANARI,PIAZZA ADOLFO BALONCIERI N. 3 e 5,15122,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011060,ALEE00104L,TAVERNA,VIA POGGIO 13,15122,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011061,ALEE825011,GALILEO GALILEI,VIA G. GALILEI 14/16,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011062,ALEE825022,VILLAGGIO EUROPA,VIA DE GASPERI 21,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011063,ALEE00702D,CARLO ZANZI,PIAZZA DELLA SCUOLA 1,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011064,ALEE00105N,VITTORINO DA FELTRE,VIA COMUNALE 13,15122,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011065,AL1E00100P,ANGELO CUSTODE,VIA GALVANI 3,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011066,ALEE003015,E. DE AMICIS,PIAZZA VITTORIO VENETO 5,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011067,ALEE004011,GIOVANNI BOVIO,SPALTO ROVERETO 63,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011068,ALEE004033,SANTORRE SANTAROSA,VIA RETTORIA 17,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011069,ALEE00705L,ALESSANDRO MANZONI,VIA REMOTTI 22,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011070,ALEE004044,VITTORIO ALFIERI,PIAZZA DOSSENA 18,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011071,ALEE81501A,ANGELO MORBELLI,VIA BENSI 2/D,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011072,ALEE81502B,CADUTI PER LA LIBERTA',VIA NENNI 72/B,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011073,ALEE817023,G. CASALEGGIO,VIA GENOVA 401,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011074,ALEE817034,E. BRAVETTA,VIA CASSANO 2,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011075,ALEE817045,P. MALDINI,VIA CASCINAGROSSA 2,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011076,ALEE817056,A. E V. PRATO,VIA GRASSANO 12,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011077,ALEE817012,A. CARETTA,VIA DEL FERRAIO 46,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011078,ALEE004022,P. MORANDO,VIA B. CROCE 9,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011079,ALEE003037,VIA SCLAVO,VIA SCLAVO 11,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011080,ALEE00701C,ADELIO FERRERO,VIA PARINI 35,15100,,
AL,ALESSANDRIA,2,SCUOLA PRIMARIA,60011081,AL1E00600T,CENTRO STUDI ALEXANDRIA,VIA DON ORIONE 1,15121,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011082,ALMM087007,A. MANZONI,VIA SANTA MARIA DI CASTELLO 9,15100,,
AL,ALESSANDRIA,3,SCUOLA SEC. I GRADO,60011083,ALMM087007,A. MANZONI,VIA CREMONA 2,15100,,
